timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659948196215,4299,HTTP Request,200,OK,Practice 1-44,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,4295,0,44
1659948196225,4388,HTTP Request,200,OK,Practice 1-45,text,true,,3035,121,150,150,http://api.yinsoknara.tech/,4387,0,36
1659948196228,4510,HTTP Request,200,OK,Practice 1-46,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,4509,0,43
1659948196235,4614,HTTP Request,200,OK,Practice 1-47,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,4614,0,42
1659948196243,4715,HTTP Request,200,OK,Practice 1-48,text,true,,3035,121,150,150,http://api.yinsoknara.tech/,4713,0,43
1659948196256,4830,HTTP Request,200,OK,Practice 1-50,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,4830,0,39
1659948196251,4924,HTTP Request,200,OK,Practice 1-49,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,4911,0,43
1659948196264,5047,HTTP Request,200,OK,Practice 1-51,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,5047,0,36
1659948196023,5357,HTTP Request,200,OK,Practice 1-16,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,5357,0,47
1659948196013,5506,HTTP Request,200,OK,Practice 1-15,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,5506,0,55
1659948196272,5336,HTTP Request,200,OK,Practice 1-52,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,5336,0,47
1659948196282,5445,HTTP Request,200,OK,Practice 1-53,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,5445,0,45
1659948196284,5529,HTTP Request,200,OK,Practice 1-54,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,5529,0,45
1659948196331,5598,HTTP Request,200,OK,Practice 1-2,text,true,,3033,121,150,150,http://api.yinsoknara.tech/,5598,0,0
1659948196298,5729,HTTP Request,200,OK,Practice 1-56,text,true,,3019,121,150,150,http://api.yinsoknara.tech/,5727,0,48
1659948196292,5853,HTTP Request,200,OK,Practice 1-55,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,5853,0,55
1659948196349,5888,HTTP Request,200,OK,Practice 1-63,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,5888,0,53
1659948196313,6030,HTTP Request,200,OK,Practice 1-57,text,true,,3033,121,150,150,http://api.yinsoknara.tech/,6030,0,89
1659948196354,6101,HTTP Request,200,OK,Practice 1-64,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,6101,0,49
1659948196313,6255,HTTP Request,200,OK,Practice 1-58,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,6245,0,89
1659948196337,6321,HTTP Request,200,OK,Practice 1-61,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,6320,0,65
1659948196326,6695,HTTP Request,200,OK,Practice 1-59,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,6695,0,76
1659948196348,6748,HTTP Request,200,OK,Practice 1-62,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,6748,0,55
1659948196330,6872,HTTP Request,200,OK,Practice 1-60,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,6872,0,72
1659948196370,6992,HTTP Request,200,OK,Practice 1-65,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,6992,0,49
1659948196370,7040,HTTP Request,200,OK,Practice 1-66,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,7040,0,50
1659948196379,7197,HTTP Request,200,OK,Practice 1-67,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,7197,0,47
1659948196393,7225,HTTP Request,200,OK,Practice 1-69,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,7225,0,38
1659948196431,7352,HTTP Request,200,OK,Practice 1-4,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,7352,0,0
1659948196390,7449,HTTP Request,200,OK,Practice 1-68,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,7449,0,41
1659948196399,7577,HTTP Request,200,OK,Practice 1-70,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,7577,0,47
1659948196417,7620,HTTP Request,200,OK,Practice 1-71,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,7620,0,36
